,name,description,rating,best_rating,rating_count,genre,for_family,producer,director,country,time,date
268,Тайна Коко,"Юный музыкант Мигель попадает в мир мертвых. Трогательная история о любви без границ, получившая два «Оскара». Смотрите онлайн на Кинопоиске.",8.695,10.0,576220.0,"['мультфильм', 'фэнтези', 'комедия', 'приключения', 'семейный', 'музыка']",True,Дарла К. Андерсон,Ли Анкрич,['США'],105,2017
269,Властелин колец: Две крепости,"Братство распалось, но Кольцо Всевластья должно быть уничтожено. Фродо и Сэм вынуждены довериться Голлуму, который взялся провести их к вратам Мордора. Громадная армия Сарумана приближается: члены братства и их союзники готовы принять бой. Битва за Средиземье продолжается.",8.596,10.0,525667.0,"['фэнтези', 'приключения', 'драма']",True,Питер Джексон,Питер Джексон,"['Новая Зеландия', 'США']",179,2002
270,Назад в будущее,"Безумный ученый и 17-летний оболтус тестируют машину времени, наводя шороху в 1950-х. Классика кинофантастики. Смотрите онлайн на Кинопоиске.",8.641,10.0,572817.0,"['фантастика', 'комедия', 'приключения']",True,Нил Кэнтон,Роберт Земекис,['США'],116,1985
271,Интерстеллар,"Когда засуха, пыльные бури и вымирание растений приводят человечество к продовольственному кризису, коллектив исследователей и учёных отправляется сквозь червоточину (которая предположительно соединяет области пространства-времени через большое расстояние) в путешествие, чтобы превзойти прежние ограничения для космических путешествий человека и найти планету с подходящими для человечества условиями.",8.614,10.0,820827.0,"['фантастика', 'драма', 'приключения']",True,Кристофер Нолан,Кристофер Нолан,"['США', 'Великобритания', 'Канада']",169,2014
272,Криминальное чтиво,"Несколько связанных историй из жизни бандитов. Шедевр Квентина Тарантино, который изменил мировое кино. Смотрите онлайн на Кинопоиске.",8.636,10.0,644555.0,"['криминал', 'драма']",False,Лоуренс Бендер,Квентин Тарантино,['США'],154,1994
273,1+1,"Пострадав в результате несчастного случая, богатый аристократ Филипп нанимает в помощники человека, который менее всего подходит для этой работы, – молодого жителя предместья Дрисса, только что освободившегося из тюрьмы. Несмотря на то, что Филипп прикован к инвалидному креслу, Дриссу удается привнести в размеренную жизнь аристократа дух приключений.",8.805,10.0,1489479.0,"['драма', 'комедия', 'биография']",True,Николя Дюваль-Адассовски,Оливье Накаш,['Франция'],112,2011
274,Иван Васильевич меняет профессию,"Иван Грозный отвечает на телефон, пока его тезка-пенсионер сидит на троне. Советский хит о липовом государе. Смотрите онлайн на Кинопоиске.",8.783,10.0,801100.0,"['комедия', 'фантастика', 'приключения']",True,,,['СССР'],88,1973
275,Король Лев,"Львенок Симба бросает вызов дяде-убийце. Величественный саундтрек, рисованная анимация и шекспировский размах. Смотрите онлайн на Кинопоиске.",8.773,10.0,606043.0,"['мультфильм', 'мюзикл', 'драма', 'приключения', 'семейный']",True,Дон Хан,Роджер Аллерс,['США'],88,1994
276,Темный рыцарь,"У Бэтмена появляется новый враг — философ-террорист Джокер. Кинокомикс, который вывел жанр на новый уровень. Смотрите онлайн на Кинопоиске.",8.517,10.0,645480.0,"['фантастика', 'боевик', 'триллер', 'криминал', 'драма']",True,Кристофер Нолан,Кристофер Нолан,"['США', 'Великобритания']",152,2008
277,Унесённые призраками,"Девочка должна спасти своих родителей в мире духов. Шедевр Хаяо Миядзаки, фаворит анимационных рейтингов мира. Смотрите онлайн на Кинопоиске.",8.47,10.0,484928.0,"['аниме', 'мультфильм', 'фэнтези', 'приключения', 'семейный']",True,Тосио Судзуки,Хаяо Миядзаки,['Япония'],125,2001
278,Бойцовский клуб,"Сотрудник страховой компании страдает хронической бессонницей и отчаянно пытается вырваться из мучительно скучной жизни. Однажды в очередной командировке он встречает некоего Тайлера Дёрдена — харизматического торговца мылом с извращенной философией. Тайлер уверен, что самосовершенствование — удел слабых, а единственное, ради чего стоит жить, — саморазрушение.

Проходит немного времени, и вот уже новые друзья лупят друг друга почем зря на стоянке перед баром, и очищающий мордобой доставляет им высшее блаженство. Приобщая других мужчин к простым радостям физической жестокости, они основывают тайный Бойцовский клуб, который начинает пользоваться невероятной популярностью.",8.646,10.0,700714.0,"['триллер', 'драма', 'криминал']",False,Росс Грэйсон Белл,Дэвид Финчер,"['США', 'Германия']",139,1999
